"","tipo","Barrio","cant_hab","cant_bath","superficie","precio"
"1","Casa","Velez Sarsfield",3,2,95,199900
"2","Departamento","Nuñez",1,1,44,147000
"3","Departamento","Almagro",1,1,40,92294
"4","Departamento","Almagro",1,1,49,115000
"5","Departamento","Almagro",1,1,40,77000
"6","Departamento","Almagro",1,1,40,88900
"7","Departamento","Almagro",1,1,40,88798
"8","Departamento","Almagro",1,1,49,110975
"9","Departamento","Almagro",1,1,40,92943
"10","Departamento","Almagro",1,1,40,99000
"11","Departamento","Almagro",1,1,40,96984
"12","Departamento","Palermo",1,1,32,125000
"13","Departamento","Palermo",1,1,40,99500
"14","Departamento","Palermo",1,1,36,121600
"15","Departamento","Palermo",3,2,90,285000
"16","Departamento","Palermo",1,1,45,150000
"17","Departamento","Palermo",1,1,54,140000
"18","Departamento","Palermo",2,1,40,110000
"19","Departamento","Palermo",1,1,33,110000
"20","Departamento","Palermo",1,1,40,96000
"21","Departamento","Caballito",1,1,40,152732
"22","Departamento","Villa Crespo",1,1,36,108000
"23","Departamento","Villa Crespo",1,1,38,94800
"24","Departamento","Villa Urquiza",1,1,32,88000
"25","Departamento","Villa Urquiza",2,2,75,225000
"26","Departamento","Parque Chacabuco",1,1,70,225000
"27","Departamento","Barracas",1,1,31,85000
"28","PH","Almagro",2,1,48,129900
"29","Departamento","Nuñez",2,1,53,185000
"30","Departamento","Nuñez",2,1,39,140000
"31","Departamento","Retiro",2,1,58,158000
"32","Departamento","Almagro",2,1,42,98000
"33","Departamento","Almagro",2,1,48,99000
"34","Departamento","Almagro",2,1,32,80000
"35","Departamento","Almagro",2,1,52,159900
"36","Departamento","Palermo",2,1,32,87000
"37","Departamento","Palermo",2,1,64,178000
"38","Departamento","Palermo",2,1,55,310000
"39","Departamento","Palermo",2,1,50,172000
"40","Departamento","Palermo",2,2,83,208000
"41","Departamento","Belgrano",2,1,53,185000
"42","Departamento","Floresta",2,1,41,83000
"43","Departamento","Recoleta",2,1,29,134000
"44","Departamento","Recoleta",2,1,39,135000
"45","Departamento","Saavedra",2,1,48,135000
"46","Departamento","Balvanera",2,1,69,155000
"47","Departamento","Colegiales",2,1,39,85000
"48","Departamento","Colegiales",2,1,38,105000
"49","Departamento","Parque Chas",2,1,50,165000
"50","Departamento","Barrio Norte",2,1,31,90000
"51","Departamento","Villa Crespo",2,1,49,104500
"52","Departamento","Villa Crespo",2,1,43,119000
"53","Departamento","Villa Devoto",2,1,84,192000
"54","Departamento","Villa Devoto",2,1,62,140000
"55","Departamento","Puerto Madero",2,1,54,390000
"56","Departamento","Villa Ortuzar",2,1,50,165000
"57","Departamento","Villa Urquiza",2,1,45,169000
"58","Departamento","Velez Sarsfield",2,1,41,83000
"59","Departamento","Parque Chacabuco",2,1,48,105000
"60","Departamento","Parque Chacabuco",2,1,42,86000
"61","Departamento","Parque Chacabuco",2,1,49,79000
"62","Departamento","Villa Pueyrredón",2,1,63,150000
"63","PH","Almagro",3,1,60,125000
"64","PH","Palermo",3,2,100,315000
"65","PH","Palermo",3,2,100,315000
"66","PH","Barracas",3,1,83,115000
"67","PH","Saavedra",4,1,96,259000
"68","PH","Caballito",3,1,100,180000
"69","PH","Caballito",5,1,187,269900
"70","PH","Villa Real",3,2,110,190000
"71","PH","Villa Crespo",3,1,68,175000
"72","Departamento","Once",3,1,84,130000
"73","Departamento","Flores",3,2,83,209000
"74","Departamento","Palermo",3,1,78,270000
"75","Departamento","Palermo",3,2,76,340000
"76","Departamento","Palermo",3,1,70,194500
"77","Departamento","Palermo",3,2,75,255000
"78","Departamento","Belgrano",3,1,50,139000
